±àÂë½á¹û£¨ -1´ú±í¸Ã½áµãÎÞº¢×Ó»òË«Ç× £©
×Ö·û	È¨ÖØ	Ë«Ç×	×óº¢×Ó	ÓÒº¢×Ó	±àÂë
 	908	144	64	77	000100111
 	933	145	129	15	100000110
 	953	145	53	76	100000111
 	1020	147	130	75	101100011
 	1170	149	131	132	101100111
 	1238	150	36	50	111101001
 	1361	151	133	134	00010000
 	1579	152	55	30	00010010
 	1745	152	135	136	00010011
 	1886	153	137	138	10000011
 	2008	154	58	51	10110000
 	2032	154	39	139	10110001
 	2120	155	0	10	10110010
 	2248	155	62	140	10110011
 	2443	156	37	141	11110100
 	2736	158	142	22	0001000
 	3324	158	143	144	0001001
 	3751	159	35	145	1000001
 	4040	160	146	147	1011000
 	4368	160	148	149	1011001
 	5066	161	150	60	1111010
 	5392	161	33	16	1111011
 	6060	162	151	152	000100
 	7092	164	20	153	100000
 	8408	165	154	155	101100
 	10458	168	156	157	111101
 	12318	169	158	31	00010
 	13036	169	13	23	00011
 	14999	170	159	14	10000
 	17198	171	160	26	10110
 	18608	171	24	28	10111
 	19977	172	8	17	11101
 	20688	173	11	161	11110
 	25354	174	162	163	0001
 	32144	177	164	32	1000
 	35806	178	165	166	1011
 	39250	179	19	167	1110
 	45089	179	168	27	1111
 	50057	180	21	169	000
 	53518	181	5	12	010
 	58204	181	1	6	011
 	64799	182	170	18	100
 	69025	182	9	171	101
 	84339	183	172	173	111
 	101251	184	174	2	00
 	111722	184	175	176	01
 	133824	185	177	178	10
 	168529	185	3	179	11
 	212973	186	180	181	0
 	302353	186	182	183	1
 	515326	-1	184	185	
